cluster	resolution	broad_label	refined_label	supporting_marker_genes	conflicting_marker_genes	marker_summary	label_confidence_level	label_decision_note
0	0.5	Granulocyte_like	Unresolved_low_signal	CXCL8,S100A9,S100A8,FCGR3B,CSF3R,HCAR2	FCGR3B,CSF3R indicate granulocyte-like identity outside the requested refined label space	Strong granulocyte-like inflammatory program; not forced into a monocyte subtype.	high_broad_low_refined	Broad granulocyte-like identity retained; requested refined space has no granulocyte label, so refined label is Unresolved_low_signal.
1	0.5	T_cells	CD4_T_naive_memory	TRBC2,TRAC,CD3D,CD3E,IL7R,LTB	CD74,JCHAIN ambient or mixed signal	TCR genes with IL7R/naive-memory signal.	moderate	Assigned from TCR and IL7R evidence.
2	0.5	CD8_T_NK	CD8_T_cytotoxic	CCL5,NKG7,GZMB,GNLY,GZMA,TRBC2,TRAC,CD3D,CD8A,PRF1	GNLY,NKG7 indicate an NK-like component but TRBC2,TRAC,CD3D support cytotoxic T identity	Cytotoxic program with TCR genes; retained as cytotoxic CD8 T.	high	Assigned from cytotoxic genes plus TCR evidence.
3	0.5	Plasma_cells	Plasma	JCHAIN,MZB1,XBP1,DERL3,FKBP11,SDC1	S100A9,LYZ ambient myeloid signal	Plasma-cell secretory program.	high	Assigned from JCHAIN/MZB1/XBP1 secretory program.
4	0.5	Inflammatory_myeloid	Monocyte_classical	CXCL8,S100A9,S100A8,IL1B,FCER1G,IL1RN	FCGR3B indicates a granulocyte-like component	Inflammatory classical-monocyte-like program.	moderate	Assigned from inflammatory S100/IL1B myeloid program.
5	0.5	Epithelial_like	Unresolved_low_signal	AGR2,KRT8,KRT18,KRT19,EPCAM,PGC,TFF2,PIGR	LYZ and immune ambient signal	Gastric epithelial program outside the immune label space.	high_broad_low_refined	Not forced into an immune subtype.
6	0.5	Macrophages	Macrophage_C1QC_APOE	C1QA,C1QB,C1QC,APOE,LYZ,FCER1G,CD74	S100A9 indicates an inflammatory myeloid component	C1Q/APOE macrophage program.	high	Assigned from C1QA/C1QB/C1QC/APOE evidence.
7	0.5	Monocytes	Monocyte_classical	IL1B,LYZ,S100A9,S100A8,VCAN,FCER1G,LST1	CD74 and HLA class II indicate activated antigen-presentation state	Inflammatory monocyte program with VCAN and S100 genes.	moderate	Assigned from LYZ/S100/VCAN inflammatory monocyte evidence.
8	0.5	Plasma_cells	Plasma	JCHAIN,MZB1,XBP1,DERL3,FKBP11	S100A9,LYZ ambient myeloid signal	Plasma-cell secretory program.	high	Assigned from JCHAIN/MZB1/XBP1 secretory program.
9	0.5	Mast_cells	Mast	TPSB2,TPSAB1,CPA3,MS4A2,KIT,GATA2	STMN1 is present but canonical cycling genes do not dominate	Canonical mast-cell program.	high	Assigned from TPSAB1/TPSB2/CPA3/KIT evidence.
10	0.5	Stromal_perivascular_like	Unresolved_low_signal	COL3A1,COL1A1,COL1A2,RGS5,DCN,SPARC	JCHAIN and CD74 ambient or mixed signal	Fibroblast/perivascular extracellular-matrix program outside the immune label space.	high_broad_low_refined	Not forced into an immune subtype.
11	0.5	Epithelial_like	Unresolved_low_signal	KRT13,KRT4,KRT5,KRT6A,TACSTD2,CLDN4	S100A9 and CD74 mixed inflammatory signal	Squamous-like epithelial keratin program outside the immune label space.	high_broad_low_refined	Not forced into an immune subtype.
12	0.5	Endothelial_like	Unresolved_low_signal	PLVAP,PECAM1,VWF,AQP1,GNG11,SPARCL1	CD74 and JCHAIN mixed immune signal	Endothelial vascular program outside the immune label space.	high_broad_low_refined	Not forced into an immune subtype.
13	0.5	Dendritic_cells	DC_LAMP3	IDO1,LAMP3,FSCN1,CD74,HLA-DRA,HLA-DPA1,GBP1	S100A9,S100A8 indicate an inflammatory component	Mature LAMP3/FSCN1 dendritic-cell program.	high	Assigned from LAMP3/FSCN1/IDO1 antigen-presentation program.
14	0.5	Unresolved	Unresolved_low_signal	MIR663AHG,LINC00632,RN7SK,NEAT1,JUN,HSPA1B	No stable canonical immune lineage program	Stress and long-noncoding-RNA signal without a stable lineage program.	low	Retained unresolved because lineage evidence is weak.
15	0.5	Epithelial_like	Unresolved_low_signal	EPCAM,KRT8,KRT18,CLDN4,GPX2,SERPINA1,CD24	LYZ and SPP1 mixed signal	Epithelial program outside the immune label space.	high_broad_low_refined	Not forced into an immune subtype.
16	0.5	Unresolved	Unresolved_low_signal	PGA4,PGA3,LIPF,CXCR4,TRBC1,BTG1	T-cell genes and gastric epithelial genes coexist	Small mixed gastric epithelial/T-cell group without stable lineage separation.	low	Retained unresolved because epithelial and T-cell evidence conflict.
17	0.5	Plasma_cells	Plasma	JCHAIN,MZB1,DERL3,HSP90B1,IGLL5	CD74 and myeloid ambient signal	Small plasma-cell group.	high	Assigned from plasma-cell secretory genes despite small cell count.
18	0.5	Plasma_cells	Plasma	JCHAIN,MZB1,IGLL5,CD79A,XBP1	S100A9,S100A8 and LYZ mixed signal	Small plasma-cell group with mixed inflammatory ambient signal.	moderate	Assigned from JCHAIN/MZB1/IGLL5 evidence with mixed inflammatory signal recorded.
