cluster	broad_label_previous	refined_label	supporting_marker_genes	conflicting_marker_genes	mean_expression_summary	fraction_expressing_summary	label_confidence_level	label_decision_note
0	Monocytes	Monocyte_classical	CXCL8,S100A9,S100A8,CSF3R,FCGR3B		see gse189926_refined_marker_dotplot.png and gse189926_cluster_marker_top50_no_technical.tsv	see gse189926_refined_marker_dotplot.png and gse189926_cluster_marker_top50_no_technical.tsv	high	neutrophil-like inflammatory myeloid markers; retained in closest requested myeloid label
1	Monocytes	Macrophage_C1QC_APOE	HLA-DRA,CD74,LYZ,C1QA,C1QB,C1QC		see gse189926_refined_marker_dotplot.png and gse189926_cluster_marker_top50_no_technical.tsv	see gse189926_refined_marker_dotplot.png and gse189926_cluster_marker_top50_no_technical.tsv	moderate	APC/macrophage-like HLA and C1Q signal; not left as classical monocyte
2	T_cells	CD8_T_cytotoxic	CCL5,NKG7,GZMA,GZMB,GNLY,TRBC2		see gse189926_refined_marker_dotplot.png and gse189926_cluster_marker_top50_no_technical.tsv	see gse189926_refined_marker_dotplot.png and gse189926_cluster_marker_top50_no_technical.tsv	high	cytotoxic T/NK markers with TCR genes
3	T_cells	CD4_T_naive_memory	TRBC2,IL7R,TRAC,CD3D,LTB		see gse189926_refined_marker_dotplot.png and gse189926_cluster_marker_top50_no_technical.tsv	see gse189926_refined_marker_dotplot.png and gse189926_cluster_marker_top50_no_technical.tsv	high	TCR genes with IL7R/naive-memory signal
4	Plasma_cells	Plasma	JCHAIN,MZB1,XBP1,CD79A,IGLL5		see gse189926_refined_marker_dotplot.png and gse189926_cluster_marker_top50_no_technical.tsv	see gse189926_refined_marker_dotplot.png and gse189926_cluster_marker_top50_no_technical.tsv	high	plasma-cell program with immunoglobulin handling genes
5	Plasma_cells	B_naive_memory	MS4A1,CD79A,BANK1,HLA-DRA,CD74		see gse189926_refined_marker_dotplot.png and gse189926_cluster_marker_top50_no_technical.tsv	see gse189926_refined_marker_dotplot.png and gse189926_cluster_marker_top50_no_technical.tsv	moderate	B-cell markers stronger than plasma markers
6	Monocytes	Unresolved_low_signal	AGR2,KRT8,KRT18,KRT19,CLDN4		see gse189926_refined_marker_dotplot.png and gse189926_cluster_marker_top50_no_technical.tsv	see gse189926_refined_marker_dotplot.png and gse189926_cluster_marker_top50_no_technical.tsv	low	epithelial-like markers are outside requested immune label space
7	Plasma_cells	Unresolved_low_signal	COL3A1,COL1A1,COL1A2,DCN,RGS5		see gse189926_refined_marker_dotplot.png and gse189926_cluster_marker_top50_no_technical.tsv	see gse189926_refined_marker_dotplot.png and gse189926_cluster_marker_top50_no_technical.tsv	low	stromal/perivascular markers are outside requested immune label space
8	Mast_cells	Mast	TPSB2,TPSAB1,CPA3,KIT,MS4A2		see gse189926_refined_marker_dotplot.png and gse189926_cluster_marker_top50_no_technical.tsv	see gse189926_refined_marker_dotplot.png and gse189926_cluster_marker_top50_no_technical.tsv	high	canonical mast-cell markers
9	Monocytes	Unresolved_low_signal	KRT13,KRT4,TACSTD2,KRT5,KRT6A		see gse189926_refined_marker_dotplot.png and gse189926_cluster_marker_top50_no_technical.tsv	see gse189926_refined_marker_dotplot.png and gse189926_cluster_marker_top50_no_technical.tsv	low	epithelial-like markers are outside requested immune label space
10	Plasma_cells	Unresolved_low_signal	IGFBP7,PLVAP,PECAM1,VWF,AQP1		see gse189926_refined_marker_dotplot.png and gse189926_cluster_marker_top50_no_technical.tsv	see gse189926_refined_marker_dotplot.png and gse189926_cluster_marker_top50_no_technical.tsv	low	endothelial-like markers are outside requested immune label space
11	Plasma_cells	Unresolved_low_signal	HSPA6,HSPA1B,HSPA1A,JUN,JCHAIN,MZB1		see gse189926_refined_marker_dotplot.png and gse189926_cluster_marker_top50_no_technical.tsv	see gse189926_refined_marker_dotplot.png and gse189926_cluster_marker_top50_no_technical.tsv	low	stress/heat-shock signal mixed with plasma genes; not enough stable immune subtype evidence
